0	2.5	3.3	4.4	46.1	49.9	53.7
1	3.4	4.5	5.8	50.8	54.7	58.6
2	4.3	5.6	7.1	54.4	58.4	62.4
3	5	6.4	8	57.3	61.4	65.5
4	5.6	7	8.7	59.7	63.9	68
5	6	7.5	9.3	61.7	65.9	70.1
6	6.4	7.9	9.8	63.3	67.6	71.9
7	6.7	8.3	10.3	64.8	69.2	73.5
8	6.9	8.6	10.7	66.2	70.6	75
9	7.1	8.9	11	67.5	72	76.5
10	7.4	9.2	11.4	68.7	73.3	77.9
11	7.6	9.4	11.7	69.9	74.5	79.2
12	7.7	9.6	12.0	71.0	75.7	80.5
13	7.9	9.9	12.3	72.1	76.9	81.8
14	8.1	10.1	12.6	73.1	78.0	83.0
15	8.3	10.3	12.8	74.1	79.1	84.2
16	8.4	10.5	13.1	75.0	80.2	85.4
17	8.6	10.7	13.4	76.0	81.2	86.5
18	8.8	10.9	13.7	76.9	82.3	87.7
19	8.9	11.1	13.9	77.7	83.2	88.8
20	9.1	11.3	14.2	78.6	84.2	89.8
21	9.2	11.5	14.5	79.4	85.1	90.9
22	9.4	11.8	14.7	80.2	86.0	91.9
23	9.5	12.0	15.0	81.0	86.9	92.9
24	9.7	12.2	15.3	81.0	87.1	93.2
0	2.4	3.2	4.2	45.4	49.1	52.9
1	3.2	4.2	5.5	49.8	53.7	57.6
2	3.9	5.1	6.6	53.0	57.1	61.1
3	4.5	5.8	7.5	55.6	59.8	64.0
4	5.0	6.4	8.2	57.8	62.1	66.4
5	5.4	6.9	8.8	59.6	64	68.5
6	5.7	7.3	9.3	61.2	65.7	70.3
7	6.0	7.6	9.8	62.7	67.3	71.9
8	6.3	7.9	10.2	64.0	68.8	73.5
9	6.5	8.2	10.5	65.3	70.1	75.0
10	6.7	8.5	10.9	66.5	71.5	76.4
11	6.9	8.7	11.2	67.7	72.8	77.8
12	7.0	8.9	11.5	68.9	74.0	79.2
13	7.2	9.2	11.8	70.0	75.2	80.5
14	7.4	9.4	12.1	71.0	76.4	81.7
15	7.6	9.6	12.4	72.0	77.5	83.0
16	7.7	9.8	12.6	73.0	78.6	84.2
17	7.9	10.0	12.9	74.0	79.7	85.4
18	8.1	10.2	13.2	74.9	80.7	86.5
19	8.2	10.4	13.5	75.8	81.7	87.6
20	8.4	10.6	13.7	76.7	82.7	88.7
21	8.6	10.9	14.0	77.5	83.7	89.8
22	8.7	11.1	14.3	78.4	84.6	90.8
23	8.9	11.3	14.6	79.2	85.5	91.9
24	9.0	11.5	14.8	80.0	86.4	92.9


